nomis_agency_id,postcode
SCH1,LS16 8EB
SCH2,S17 3ES
SCH3,DL5 6JB
SCH4,M30 7RL
SCH5,NG9 8GU
SCH6,SA11 1UL 
SCH8,NG34 7TY
SCH9,BS16 7AA
STC1,ME1 3YB
STC3,MK5 6AJ
STC2,CV23 8SY
HBPO02,HU1 1RS
DBS020,DE1 2EQ
LNS008,PE21 8LN
DBS012,SK17 6DH
DBS005,S41 7TW
CHES01,S41 7UG
DBSAP1,DE22 3BR
LNS010,DN21 2SY
LNS003,NG31 6NZ
DBS010,DE7 5QJ
LTS006,LE1 2LB
LTSAP1,LE1 6YF
LTS007,LE11 2UZ
LTS008,LE13 1GH
LTSAP2,LE2 2PJ
LTS002,LE67 3JB
LNS011,LN1 3AA
LNSAP1,LN1 3NQ
LNS007,LN2 1HN
LNS004,LN5 7QA
LNS006,PE11 2AD
LNS009,LN11 7AN
NHS002,NG18 1LP
NHSAP3,NG3 4JF
NHS012,NG7 1FW
HBSAP2,DN15 6AS
LNS005,PE25 1DA
STF050,ST1 5RQ
SWAD01,DE11 0AE
NHS008,S80 2AS
NHSAP1,NG7 4DJ
LDM130,NW9 7BW
LDM098,DA6 7ND
LDM065,SE1 1JD
LDM143,NW10 2DW
LDM093,BR6 0HE
LDM121,EN2 6SA
LDM016,W12 9AX
GPO01,SE18 6DH
LDM090,IG1 1QQ
LDM077,E15 4LD
474052,RM1 2JT
LDM101,SM1 4JD
LDM049,SW18 2QE
LDM099,CR0 1AX
LDM120,W13 9HH
LDM114,W3 6BG
LDM018,N16 7QS
LDM135,N17 9XX
LDM132,TW3 2AD
LDM133,TW7 5LP
LDM134,EC1V 4RW
LDM109,KT1 2BB
LDM006,SW9 9TN
LDM023,SE13 6JP
LEYT01,E11 3HF
LDM068,SE1 4XW
LDM038,E2 9RD
BOW001,E3 4NS
LDM141,UB8 1PQ
LDM104,SW19 2JL
BCROFT,OL7 0DH
MCG008,M6 6PF
MCG016,M46 0JS
MCG044,BL1 2JS
MCG024,BL9 0LN
MCG003,OL1 2JG
MCG006,OL11 1EF
MCG007,SK1 1EG
NBR027,NE24 2AG
DUR017,DH8 5DH
NBR010,NE46 1XB
NBR014,NE1 4BN
NBR013,NE15 7QQ
NBRAP3,NE4 6XD
DUR002,SR8 1BS
NBR021,SR4 8DS
YSN001,YO31 7WD
DUR001,DL3 6TH
DUR004,DH1 1RG
DUR014,DH1 5TS
NBR008,NE8 1PZ
TES002,TS24 8BL
TES003,TS1 2EJ
MDPL01,TS2 1AB
TES007,TS6 6DF
NBRAP4,NE4 6QX
DUR009,DL5 4DH
NBRAP1,SR4 8DS
TES010,TS17 6QX
NBR035,NE33 1RG
NBR024,NE28 6SE
LCSAP1,BB5 0PX
AULPO,OL6 7PT
AULMPO,OL7 0QN
MRS021,CH41 4PE
PNRPO,BB2 6AY
BLAPRO,BB1 8AF
LCSAP2,BB2 2HL
LCS006,FY3 7AT
LCS009,PR7 3JD
MRS003,L20 7BE
LCS008,BB11 1QW
BRWPB,LA14 1RW
MCG024,BL9 0LN
MCG004,BL9 5DE
CMBAP1,CA3 8DP
CHS008,CH1 4QS
CRE001,CW1 6YY
MCG001,M21 9LH
MCG045,M30 8PF
CHSAP2,CH65 9HE
KNOWPO,L36 6GA
MRS061,L36 9US
CMB005,LA9 4RF
MRS007,L5 7QQ
LCS011,LA1 5NU
MRS051,L13 3AE
MRSAP3,L17 7BQ
MRS025,L2 6PY
MRS011,L22 1RG
MRSAP2,L3 7HS
D05M01,L7 1RJ
MRSAP5,L8 3SA
MRS008,L8 7SX
LDM065,SE1 1JD
MCG034,M14 5YJ
MCG033,M16 0PQ
CHS003,SK10 1BY
CHS009,SK10 1HQ
MCG017,M15 5PE
MCG057,M16 8JN
